,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
121,skierniewice,90,PL,1548129600,92,51.96,20.14,24.8,3.36
122,eureka,1,US,1548129300,92,40.8,-124.16,42.8,10.51
123,saskylakh,48,RU,1548131587,45,71.97,114.09,-28.37,4.14
124,aklavik,90,CA,1548129600,68,68.22,-135.01,-16.61,4.7
125,bredasdorp,76,ZA,1548129600,88,-34.53,20.04,64.4,9.17
126,fortuna,0,ES,1548129600,45,38.18,-1.13,44.6,13.87
127,racine,90,US,1548130500,56,42.73,-87.78,21.02,16.11
128,talnakh,44,RU,1548131589,64,69.49,88.39,-14.15,3.47
129,hervey bay,40,AU,1548129600,46,-25.3,152.85,89.6,17.22
130,zyryanka,20,RU,1548131589,0,65.73,150.89,-30.3,4.14
131,omidiyeh,56,IR,1548129600,93,30.76,49.7,42.8,3.24
132,port elizabeth,1,US,1548129360,46,39.31,-74.98,19.04,14.99
133,khanpur,0,PK,1548131590,100,28.65,70.66,57.68,8.95
134,sao joao da barra,8,BR,1548131590,96,-21.64,-41.05,80.27,28.52
135,shache,80,CN,1548131591,70,38.42,77.24,24.65,5.03
136,suceveni,90,RO,1548129600,79,46.54,27.65,26.6,5.82
137,mezen,80,RU,1548131591,67,65.85,44.24,2.42,2.68
138,kudahuvadhoo,0,MV,1548131591,100,2.67,72.89,80.13,10.29
139,tuktoyaktuk,90,CA,1548130080,77,69.44,-133.03,-0.41,8.05
140,san vicente,0,SV,1548129000,47,13.64,-88.78,77.0,14.99
141,baoning,0,CN,1548129600,43,25.34,110.03,55.4,2.24
142,saurimo,32,AO,1548131593,90,-9.66,20.4,67.49,3.8
143,sioux lookout,90,CA,1548129600,71,50.1,-91.92,8.6,8.05
144,san quintin,0,PH,1548131594,55,17.54,120.52,81.66,10.74
145,tiznit,0,MA,1548131594,100,29.7,-9.73,42.92,4.36
146,huarmey,68,PE,1548131595,91,-10.07,-78.15,64.43,2.46
147,iracoubo,92,GF,1548131595,87,5.48,-53.21,76.58,5.93
148,la macarena,8,CO,1548131595,88,2.18,-73.79,72.89,2.01
149,nishihara,20,JP,1548129600,34,35.74,139.53,50.0,12.75
150,victoria,90,BN,1548129600,83,5.28,115.24,84.2,3.36
151,auxerre,90,FR,1548129600,86,47.8,3.58,28.4,8.05
152,petropavlovsk-kamchatskiy,75,RU,1548129600,93,53.05,158.65,32.0,2.24
153,bambous virieux,75,MU,1548129600,70,-20.34,57.76,84.2,3.36
154,qaqortoq,0,GL,1548129000,35,60.72,-46.03,6.8,4.7
155,westport,56,IE,1548131598,100,53.8,-9.52,41.03,19.57
156,salekhard,56,RU,1548131598,71,66.54,66.62,-10.55,6.71
157,malindi,75,KE,1548129600,78,-3.22,40.12,80.6,14.99
158,norden,75,DE,1548129900,92,53.59,7.21,26.6,5.82
159,santa maria,0,BR,1548131600,91,-29.69,-53.81,62.27,5.26
160,torbay,75,CA,1548129600,93,47.66,-52.73,41.0,19.46
161,mandera,8,ET,1548131600,43,3.94,41.86,78.92,6.26
162,guanare,24,VE,1548131601,77,9.04,-69.74,72.21,3.02
163,nikolskoye,36,RU,1548129600,84,59.7,30.79,-0.41,6.71
164,sunset,1,US,1548130500,69,35.22,-90.21,37.04,14.99
165,manggar,68,ID,1548131602,93,-2.88,108.27,82.25,10.74
166,chute-aux-outardes,1,CA,1548129600,54,49.12,-68.38,5.0,12.75
167,tera,20,CY,1548129600,81,34.97,32.42,51.8,6.93
168,labuhan,92,ID,1548131603,83,-2.54,115.51,81.35,2.91
169,durham,40,GB,1548129000,94,54.78,-1.58,37.4,17.22
170,ilulissat,12,GL,1548129000,53,69.22,-51.1,-2.21,13.87
171,fountain,75,US,1548129960,52,38.68,-104.7,41.0,12.75
172,caravelas,12,BR,1548131604,100,-17.73,-39.27,81.21,15.21
173,vao,24,EE,1548131604,86,59.1,26.19,4.94,4.7
174,riyadh,8,SA,1548129600,42,24.63,46.72,46.4,2.35
175,castro,75,CL,1548129600,93,-42.48,-73.76,51.8,10.29
176,rocha,0,UY,1548131605,89,-34.48,-54.34,62.45,5.14
177,poya,56,NC,1548131605,97,-21.35,165.16,78.6,23.94
178,sorland,0,NO,1548131606,100,67.67,12.69,35.58,9.95
179,vakhrushev,12,RU,1548131606,81,48.99,142.86,15.92,2.68
180,srednekolymsk,48,RU,1548131606,32,67.46,153.71,-21.71,2.35
181,sumbe,92,AO,1548131607,100,-11.2,13.84,72.21,3.36
182,ostrovnoy,76,RU,1548131607,77,68.05,39.51,-1.1,3.69
183,garowe,76,SO,1548131607,76,8.41,48.48,68.25,9.17
184,kirakira,56,SB,1548131607,100,-10.46,161.92,83.91,4.25
185,flagstaff,75,US,1548129420,68,35.2,-111.65,37.4,3.36
186,norman wells,75,CA,1548129600,66,65.28,-126.83,-31.01,2.57
187,bijie,12,CN,1548131609,87,27.3,105.3,43.64,3.58
188,cangzhou,0,CN,1548131609,43,38.3,116.85,46.43,4.59
189,vila velha,20,BR,1548129600,78,-3.71,-38.6,80.6,11.41
190,paamiut,24,GL,1548131610,100,61.99,-49.67,16.19,8.72
191,uyuni,0,BO,1548131610,82,-20.46,-66.82,39.14,6.38
192,voh,76,NC,1548131610,91,-20.95,164.69,80.45,21.47
193,luderitz,0,NA,1548131611,85,-26.65,15.16,58.98,13.87
194,neiafu,44,TO,1548131402,100,-18.65,-173.98,81.3,8.95
195,mar del plata,0,AR,1548131611,50,-46.43,-67.52,57.5,25.5
196,jiaxing,0,CN,1548129600,46,30.76,120.75,53.6,8.95
197,safford,90,US,1548129060,31,32.83,-109.71,51.08,23.04
198,saint anthony,90,US,1548129360,59,43.97,-111.68,26.06,6.93
199,qandala,0,SO,1548131614,83,11.47,49.87,70.01,3.91
200,inuvik,90,CA,1548129600,68,68.36,-133.71,-16.61,4.7
201,celbridge,40,IE,1548129600,99,53.34,-6.54,33.8,10.29
202,luau,92,CD,1548131615,100,-10.7,22.23,64.88,2.24
203,las palmas,40,PE,1548129600,290,-6.53,-76.35,62.6,2.24
204,namatanai,44,PG,1548131616,100,-3.66,152.44,82.16,6.6
205,vardo,1,US,1548130500,52,39.62,-77.74,17.6,11.41
206,tigre,0,AR,1548129600,73,-34.42,-58.58,77.0,2.24
207,shingu,75,JP,1548129600,43,33.72,135.99,51.8,17.22
208,zhezkazgan,90,KZ,1548129600,92,47.8,67.71,19.4,8.95
209,laguna,56,MX,1548131618,71,27.52,-110.01,57.36,1.79
210,neuquen,0,AR,1548129600,31,-38.95,-68.06,73.4,4.7
211,coos bay,1,US,1548129360,95,43.37,-124.22,42.08,5.82
212,pacific grove,1,US,1548129600,71,36.62,-121.92,53.06,8.05
213,new norfolk,20,AU,1548129600,53,-42.78,147.06,75.2,20.8
214,polunochnoye,0,RU,1548131620,58,60.87,60.43,1.79,7.27
215,ballinasloe,76,IE,1548131620,94,53.33,-8.22,39.45,16.44
216,manokwari,0,ID,1548131621,99,-0.87,134.08,83.06,5.59
217,lahaina,20,US,1548129360,78,20.87,-156.68,78.08,13.87
218,clyde river,1,CA,1548129600,66,70.47,-68.59,-32.81,4.7
219,morros,75,BR,1548129600,88,-2.87,-44.04,80.6,10.29
220,ancud,75,CL,1548129600,93,-41.87,-73.83,51.8,10.29
221,geraldton,75,CA,1548129600,72,49.72,-86.95,14.0,10.29
222,pauini,92,BR,1548131623,100,-7.71,-67.0,72.03,4.7
223,porto novo,20,BR,1548129600,94,-23.68,-45.44,73.4,1.12
224,jimeta,0,NG,1548131624,69,9.28,12.44,61.55,1.34
225,sibolga,32,ID,1548131624,79,1.74,98.78,80.99,0.56
226,lewistown,1,US,1548130500,75,40.39,-90.15,21.02,19.46
227,bavleny,48,RU,1548131625,78,56.4,39.56,6.65,10.74
228,sao jose da coroa grande,92,BR,1548131625,95,-8.9,-35.15,74.91,1.57
229,mattawa,1,CA,1548129600,83,46.32,-78.7,-14.81,9.17
230,sao filipe,24,CV,1548131625,98,14.9,-24.5,70.95,15.99
231,san juan,8,AR,1548131627,60,-31.54,-68.53,68.16,2.46
232,kodiak,1,US,1548129300,77,39.95,-94.76,26.96,11.41
233,aykino,68,RU,1548131628,72,62.22,49.99,0.48,4.59
234,cayenne,75,GF,1548129600,83,4.94,-52.33,78.8,8.05
235,lagoa,0,PT,1548127800,81,37.14,-8.45,46.4,11.41
236,kruisfontein,24,ZA,1548131629,85,-34.0,24.73,65.78,8.72
237,savannah bight,100,HN,1548131630,100,16.45,-85.85,72.66,8.39
238,darhan,0,MN,1548131630,46,49.49,105.92,24.38,4.36
239,kofele,0,ET,1548131630,32,7.07,38.78,56.55,4.25
240,green river,90,US,1548129240,77,41.53,-109.47,21.92,10.29
241,gijon,92,ES,1548129600,81,43.54,-5.66,46.4,14.99
242,llandrindod wells,68,GB,1548131631,95,52.24,-3.38,35.76,11.63
243,valparaiso,90,US,1548130500,46,41.47,-87.06,12.2,9.17
244,beringovskiy,36,RU,1548131632,79,63.05,179.32,-4.2,24.72
245,oga,0,NG,1548131632,95,8.18,5.65,68.39,7.05
246,merrill,1,US,1548129180,77,42.03,-121.6,26.96,5.82
247,russell,0,AR,1548129600,57,-33.01,-68.8,78.8,5.82
248,chapais,1,CA,1548129600,75,49.78,-74.86,-20.21,3.36
249,kuytun,92,RU,1548131634,87,54.34,101.51,22.22,3.36
250,tuatapere,8,NZ,1548131634,71,-46.13,167.69,64.56,25.72
251,svetlogorsk,90,RU,1548129600,84,53.14,59.15,3.2,17.9
252,nizhniy odes,56,RU,1548131635,71,63.64,54.86,-2.36,3.13
253,cherskiy,48,RU,1548131635,68,68.75,161.3,-14.96,2.24
254,deputatskiy,8,RU,1548131635,0,69.3,139.9,-46.95,6.38
255,honningsvag,75,NO,1548129000,79,70.98,25.97,24.8,20.8
256,loudi,0,CN,1548131636,85,27.73,112.0,52.37,4.36
257,rey bouba,0,CM,1548131636,67,8.67,14.18,62.63,2.13
258,nhulunbuy,75,AU,1548129600,94,-12.18,136.78,78.8,8.05
259,nanortalik,0,GL,1548131637,100,60.14,-45.24,22.49,28.07
260,fairbanks,1,US,1548129480,81,64.84,-147.72,-11.03,6.38
261,upernavik,36,GL,1548131638,95,72.79,-56.15,-4.7,7.38
262,saldanha,48,PT,1548131638,83,41.42,-6.55,28.88,6.6
263,troitsko-pechorsk,64,RU,1548131638,80,62.71,56.19,6.02,3.36
264,bud,56,NO,1548129000,79,62.91,6.91,33.8,6.93
265,yumen,0,CN,1548131639,88,40.29,97.04,13.49,6.15
266,bathsheba,75,BB,1548129600,78,13.22,-59.52,77.0,12.75
267,belle fourche,90,US,1548130500,92,44.67,-103.85,15.8,11.41
268,emba,20,CY,1548129600,81,34.81,32.42,51.8,6.93
269,kon tum,12,VN,1548131640,54,14.36,108.0,75.32,7.16
270,khor,64,RU,1548131641,66,47.88,134.96,10.56,5.37
271,gayny,64,RU,1548131641,84,60.3,54.33,12.36,6.26
272,verkhoyansk,20,RU,1548131641,0,67.55,133.39,-56.54,2.01
273,saryozek,32,KZ,1548131642,87,44.36,77.98,19.83,3.91
274,oranjestad,20,AW,1548129600,78,12.52,-70.03,78.8,17.22
275,mount pleasant,75,US,1548130500,71,33.16,-94.97,50.36,14.99
276,lucapa,24,AO,1548131643,85,-8.42,20.74,70.28,4.03
277,dunedin,0,NZ,1548131644,52,-45.87,170.5,69.06,21.47
278,vangaindrano,92,MG,1548131644,100,-23.35,47.6,75.36,5.26
279,zliv,48,CZ,1548131645,79,49.07,14.37,13.04,4.47
280,mandalgovi,0,MN,1548131645,53,45.76,106.27,24.47,4.59
281,maltahohe,0,NA,1548131645,47,-24.83,16.98,67.94,3.36
282,batagay,8,RU,1548131646,0,67.65,134.64,-61.94,2.91
283,lahij,56,YE,1548131646,79,13.06,44.88,72.17,3.8
284,bonthe,8,SL,1548131647,98,7.53,-12.5,76.4,3.91
285,yerbogachen,0,RU,1548131471,68,61.28,108.01,-1.59,3.69
286,belmonte,36,PT,1548131647,78,40.36,-7.35,27.75,2.68
287,hobyo,0,SO,1548131647,73,5.35,48.53,78.92,18.79
288,mingaora,88,PK,1548131648,94,34.78,72.36,40.49,0.34
289,cheremukhovo,56,RU,1548131648,84,56.23,46.23,5.16,8.05
290,juwana,76,ID,1548131648,99,-6.71,111.15,80.72,10.4
291,constitucion,0,MX,1548131649,65,23.99,-104.67,45.21,5.7
292,san patricio,0,PY,1548131649,89,-26.98,-56.83,66.41,2.13
293,dakar,0,SN,1548129600,77,14.69,-17.45,62.6,13.87
294,umm lajj,44,SA,1548131649,100,25.02,37.27,62.76,2.68
295,iqaluit,40,CA,1548129600,76,63.75,-68.52,-11.21,11.41
296,praia da vitoria,90,PT,1548129600,76,38.73,-27.07,57.2,19.13
297,lasa,20,CY,1548129600,81,34.92,32.53,51.8,6.93
298,coronel,0,MX,1548131650,65,17.95,-92.84,65.24,9.28
299,jizan,56,SA,1548129600,83,16.89,42.56,75.2,7.61
300,egvekinot,20,RU,1548131651,76,66.32,-179.17,-12.57,10.18
301,muros,40,ES,1548129600,93,42.77,-9.06,44.6,3.36
302,usinsk,76,RU,1548131652,72,66.0,57.56,-6.45,3.13
303,lexington,90,US,1548130500,53,38.05,-84.5,21.02,13.87
304,zheleznodorozhnyy,40,RU,1548129600,84,55.75,38.0,5.0,4.47
305,huanren,0,CN,1548131653,25,41.26,125.37,37.07,5.03
306,buraydah,24,SA,1548129600,81,26.33,43.97,50.0,2.24
307,chongwe,0,ZM,1548129600,82,-15.33,28.68,64.4,3.36
308,jaciara,8,BR,1548131654,92,-15.95,-54.98,72.44,2.68
309,anadyr,0,RU,1548129600,75,64.73,177.51,-14.81,4.47
310,hasaki,20,JP,1548129600,39,35.73,140.83,51.8,10.29
